Entity,Code,WHO region
Afghanistan,AFG,Eastern Mediterranean
Albania,ALB,Europe
Algeria,DZA,Africa
Andorra,AND,Europe
Angola,AGO,Africa
Antigua and Barbuda,ATG,Americas
Argentina,ARG,Americas
Armenia,ARM,Europe
Australia,AUS,Western Pacific
Austria,AUT,Europe
Azerbaijan,AZE,Europe
Bahamas,BHS,Americas
Bahrain,BHR,Eastern Mediterranean
Bangladesh,BGD,South-East Asia
Barbados,BRB,Americas
Belarus,BLR,Europe
Belgium,BEL,Europe
Belize,BLZ,Americas
Benin,BEN,Africa
Bhutan,BTN,South-East Asia
Bolivia,BOL,Americas
Bosnia and Herzegovina,BIH,Europe
Botswana,BWA,Africa
Brazil,BRA,Americas
Brunei,BRN,Western Pacific
Bulgaria,BGR,Europe
Burkina Faso,BFA,Africa
Burundi,BDI,Africa
Cambodia,KHM,Western Pacific
Cameroon,CMR,Africa
Canada,CAN,Americas
Cape Verde,CPV,Africa
Central African Republic,CAF,Africa
Chad,TCD,Africa
Chile,CHL,Americas
China,CHN,Western Pacific
Colombia,COL,Americas
Comoros,COM,Africa
Congo,COG,Africa
Cook Islands,COK,Western Pacific
Costa Rica,CRI,Americas
Cote d'Ivoire,CIV,Africa
Croatia,HRV,Europe
Cuba,CUB,Americas
Cyprus,CYP,Europe
Czech Republic,CZE,Europe
Democratic Republic of Congo,COD,Africa
Denmark,DNK,Europe
Djibouti,DJI,Eastern Mediterranean
Dominica,DMA,Americas
Dominican Republic,DOM,Americas
Ecuador,ECU,Americas
Egypt,EGY,Eastern Mediterranean
El Salvador,SLV,Americas
Equatorial Guinea,GNQ,Africa
Eritrea,ERI,Africa
Estonia,EST,Europe
Ethiopia,ETH,Africa
Fiji,FJI,Western Pacific
Finland,FIN,Europe
France,FRA,Europe
Gabon,GAB,Africa
Gambia,GMB,Africa
Georgia,GEO,Europe
Germany,DEU,Europe
Ghana,GHA,Africa
Greece,GRC,Europe
Grenada,GRD,Americas
Guatemala,GTM,Americas
Guinea,GIN,Africa
Guinea-Bissau,GNB,Africa
Guyana,GUY,Americas
Haiti,HTI,Americas
Honduras,HND,Americas
Hungary,HUN,Europe
Iceland,ISL,Europe
India,IND,South-East Asia
Indonesia,IDN,South-East Asia
Iran,IRN,Eastern Mediterranean
Iraq,IRQ,Eastern Mediterranean
Ireland,IRL,Europe
Israel,ISR,Europe
Italy,ITA,Europe
Jamaica,JAM,Americas
Japan,JPN,Western Pacific
Jordan,JOR,Eastern Mediterranean
Kazakhstan,KAZ,Europe
Kenya,KEN,Africa
Kiribati,KIR,Western Pacific
Kuwait,KWT,Eastern Mediterranean
Kyrgyzstan,KGZ,Europe
Laos,LAO,Western Pacific
Latvia,LVA,Europe
Lebanon,LBN,Eastern Mediterranean
Lesotho,LSO,Africa
Liberia,LBR,Africa
Libya,LBY,Eastern Mediterranean
Lithuania,LTU,Europe
Luxembourg,LUX,Europe
Macedonia,MKD,Europe
Madagascar,MDG,Africa
Malawi,MWI,Africa
Malaysia,MYS,Western Pacific
Maldives,MDV,South-East Asia
Mali,MLI,Africa
Malta,MLT,Europe
Marshall Islands,MHL,Western Pacific
Mauritania,MRT,Africa
Mauritius,MUS,Africa
Mexico,MEX,Americas
Micronesia (country),FSM,Western Pacific
Moldova,MDA,Europe
Monaco,MCO,Europe
Mongolia,MNG,Western Pacific
Montenegro,MNE,Europe
Morocco,MAR,Eastern Mediterranean
Mozambique,MOZ,Africa
Myanmar,MMR,South-East Asia
Namibia,NAM,Africa
Nauru,NRU,Western Pacific
Nepal,NPL,South-East Asia
Netherlands,NLD,Europe
New Zealand,NZL,Western Pacific
Nicaragua,NIC,Americas
Niger,NER,Africa
Nigeria,NGA,Africa
Niue,NIU,Western Pacific
North Korea,PRK,South-East Asia
Norway,NOR,Europe
Oman,OMN,Eastern Mediterranean
Pakistan,PAK,Eastern Mediterranean
Palau,PLW,Western Pacific
Panama,PAN,Americas
Papua New Guinea,PNG,Western Pacific
Paraguay,PRY,Americas
Peru,PER,Americas
Philippines,PHL,Western Pacific
Poland,POL,Europe
Portugal,PRT,Europe
Qatar,QAT,Eastern Mediterranean
Romania,ROU,Europe
Russia,RUS,Europe
Rwanda,RWA,Africa
Saint Kitts and Nevis,KNA,Americas
Saint Lucia,LCA,Americas
Saint Vincent and the Grenadines,VCT,Americas
Samoa,WSM,Western Pacific
San Marino,SMR,Europe
Sao Tome and Principe,STP,Africa
Saudi Arabia,SAU,Eastern Mediterranean
Senegal,SEN,Africa
Serbia,SRB,Europe
Seychelles,SYC,Africa
Sierra Leone,SLE,Africa
Singapore,SGP,Western Pacific
Slovakia,SVK,Europe
Slovenia,SVN,Europe
Solomon Islands,SLB,Western Pacific
Somalia,SOM,Eastern Mediterranean
South Africa,ZAF,Africa
South Korea,KOR,Western Pacific
South Sudan,SSD,Africa
Spain,ESP,Europe
Sri Lanka,LKA,South-East Asia
Sudan,SDN,Eastern Mediterranean
Suriname,SUR,Americas
Swaziland,SWZ,Africa
Sweden,SWE,Europe
Switzerland,CHE,Europe
Syria,SYR,Eastern Mediterranean
Tajikistan,TJK,Europe
Tanzania,TZA,Africa
Thailand,THA,South-East Asia
Timor,TLS,South-East Asia
Togo,TGO,Africa
Tonga,TON,Western Pacific
Trinidad and Tobago,TTO,Americas
Tunisia,TUN,Eastern Mediterranean
Turkey,TUR,Europe
Turkmenistan,TKM,Europe
Tuvalu,TUV,Western Pacific
Uganda,UGA,Africa
Ukraine,UKR,Europe
United Arab Emirates,ARE,Eastern Mediterranean
United Kingdom,GBR,Europe
United States,USA,Americas
Uruguay,URY,Americas
Uzbekistan,UZB,Europe
Vanuatu,VUT,Western Pacific
Venezuela,VEN,Americas
Vietnam,VNM,Western Pacific
Yemen,YEM,Eastern Mediterranean
Zambia,ZMB,Africa
Zimbabwe,ZWE,Africa